HELLOFRESH_WEEK,Brand,BOX_ID,DU_ID,DELIVERY_REGION,DELIVERY_DATE,DC,Carrier,TRACKING_CODE,WEEKDAY,PACKING_DAY,CUSTOMER_ID,STATE,POSTCODE,TIME_IN_TRANSIT,MESSAGE,CARRIER_CREATE_TIME,local_datetime,Local Date,Responsible Party,OTP Groups,DELIVERED,Error?,COMPLAINT,DETAIL_1,是否看照片
2023-W12,US,US267857055,H2678570550,AZ_AXLE-LAXCA,3/22/2023,AZ,AXLE,SCD0970110406488905,Wednesday,Tuesday,30661731,CA,90027,1,SHIPMENT.DROPOFF_FAILED,3/23/2023 7:27:39 下午,3/23/2023 12:27:39 下午,3/23/2023,FINAL MILE,Undelivered,0,0,,,是
2023-W12,US,US267859680,H2678596800,AZ_AXLE-LAXCA,3/22/2023,AZ,AXLE,SCD0970110406489213,Wednesday,Tuesday,48742950,CA,91730,1,SHIPMENT.PICKUP_FAILED,3/22/2023 3:57:47 下午,3/22/2023 8:57:47 上午,3/22/2023,FINAL MILE,Undelivered,0,1,exception,failure,是
2023-W12,US,US267860514,H2678605140,NJ_AXLE-PHLPA,3/22/2023,NJ,AXLE,SCD0970110406488949,Wednesday,Tuesday,26428245,PA,19611,1,SHIPMENT.DROPOFF_FAILED,3/22/2023 4:22:21 下午,3/22/2023 12:22:21 下午,3/22/2023,FINAL MILE,Undelivered,0,1,no_progress_in_tracking,,是
2023-W12,US,US267865457,H2678654570,NJ_AXLE-EWRNJ,3/22/2023,NJ,AXLE,SCD0970110406491319,Wednesday,Tuesday,35892452,NJ,7722,1,SHIPMENT.DROPOFF_FAILED,3/22/2023 4:01:54 下午,3/22/2023 12:01:54 下午,3/22/2023,FINAL MILE,Undelivered,0,1,no_progress_in_tracking,,是
2023-W12,US,US267870341,H2678703410,AZ_AXLE-SALCA,3/22/2023,AZ,AXLE,SCD0008698900497437,Wednesday,Monday,43301918,CA,95035,2,SHIPMENT.DROPOFF_FAILED,3/22/2023 10:18:13 下午,3/22/2023 3:18:13 下午,3/22/2023,FINAL MILE,Undelivered,0,1,"exception,exception","failure,failure",是
2023-W12,US,US267873928,H2678739280,AZ_AXLE-LAXCA,3/22/2023,AZ,AXLE,SCD0970110406488789,Wednesday,Tuesday,20582949,CA,93063,1,SHIPMENT.PICKUP_READY,3/24/2023 12:42:27 下午,3/24/2023 5:42:27 上午,3/24/2023,FINAL MILE,Undelivered,0,1,exception,failure,是
2023-W12,US,US267876742,H2678767420,AZ_AXLE-SALCA,3/22/2023,AZ,AXLE,SCD0008698900497433,Wednesday,Monday,4588409,CA,95448,2,SHIPMENT.DROPOFF_SUCCEEDED,3/23/2023 8:35:20 上午,3/23/2023 1:35:20 上午,3/23/2023,FINAL MILE,Late +1,1,1,marked_as_delivered,,是
2023-W12,US,US267876984,H2678769840,AZ_AXLE-LAXCA,3/22/2023,AZ,AXLE,SCD0970110406490999,Wednesday,Tuesday,48419134,CA,92129,1,SHIPMENT.RECEIVED_DAMAGED,3/22/2023 4:31:03 下午,3/22/2023 9:31:03 上午,3/22/2023,FINAL MILE,Undelivered,0,0,,,是
2023-W12,US,US267878816,H2678788160,NJ_AXLE-JFKNY,3/22/2023,NJ,AXLE,SCD0970110406488123,Wednesday,Tuesday,14333885,NY,11234,1,SHIPMENT.PICKUP_READY,3/22/2023 12:45:01 下午,3/22/2023 8:45:01 上午,3/22/2023,FINAL MILE,Undelivered,0,1,exception,failure,是
2023-W12,US,US267894151,H2678941510,NJ_AXLE-EWRNJ,3/22/2023,NJ,AXLE,SCD0970110406487573,Wednesday,Tuesday,41401928,NJ,8844,1,SHIPMENT.DROPOFF_SUCCEEDED,3/23/2023 3:46:37 下午,3/23/2023 11:46:37 上午,3/23/2023,FINAL MILE,Late +1,1,1,"late_delivery_after_delivery_window,driver_didn_t_follow_delivery_instructions",box_not_received,是
